Totales Territoriales;Nacionalidad;Orden de nacimiento;Periodo;Total
Total Nacional;Española;Segundo;1979;..
Total Nacional;Española;Segundo;1978;..
Total Nacional;Española;Segundo;1977;..
Total Nacional;Española;Segundo;1976;..
Total Nacional;Española;Segundo;1975;..
Total Nacional;Española;Tercero;2024;0,08
Total Nacional;Española;Tercero;2023;0,09
Total Nacional;Española;Tercero;2022;0,09
Total Nacional;Española;Tercero;2021;0,1
Total Nacional;Española;Tercero;2020;0,09
Total Nacional;Española;Tercero;2019;0,09
Total Nacional;Española;Tercero;2018;0,09
Total Nacional;Española;Tercero;2017;0,09
Total Nacional;Española;Tercero;2016;0,09
Total Nacional;Española;Tercero;2015;0,09
Total Nacional;Española;Tercero;2014;0,08
Total Nacional;Española;Tercero;2013;0,08
Total Nacional;Española;Tercero;2012;0,08
Total Nacional;Española;Tercero;2011;0,08
Total Nacional;Española;Tercero;2010;0,09
Total Nacional;Española;Tercero;2009;0,09
Total Nacional;Española;Tercero;2008;0,09
Total Nacional;Española;Tercero;2007;0,09
Total Nacional;Española;Tercero;2006;0,09
Total Nacional;Española;Tercero;2005;0,09
Total Nacional;Española;Tercero;2004;0,09
Total Nacional;Española;Tercero;2003;0,09
Total Nacional;Española;Tercero;2002;0,09
Total Nacional;Española;Tercero;2001;..
Total Nacional;Española;Tercero;2000;..
Total Nacional;Española;Tercero;1999;..
Total Nacional;Española;Tercero;1998;..
Total Nacional;Española;Tercero;1997;..
Total Nacional;Española;Tercero;1996;..
Total Nacional;Española;Tercero;1995;..
Total Nacional;Española;Tercero;1994;..
Total Nacional;Española;Tercero;1993;..
Total Nacional;Española;Tercero;1992;..
Total Nacional;Española;Tercero;1991;..
Total Nacional;Española;Tercero;1990;..
Total Nacional;Española;Tercero;1989;..
Total Nacional;Española;Tercero;1988;..
Total Nacional;Española;Tercero;1987;..
Total Nacional;Española;Tercero;1986;..
Total Nacional;Española;Tercero;1985;..
Total Nacional;Española;Tercero;1984;..
Total Nacional;Española;Tercero;1983;..
Total Nacional;Española;Tercero;1982;..
Total Nacional;Española;Tercero;1981;..
Total Nacional;Española;Tercero;1980;..
Total Nacional;Española;Tercero;1979;..
Total Nacional;Española;Tercero;1978;..
Total Nacional;Española;Tercero;1977;..
Total Nacional;Española;Tercero;1976;..
Total Nacional;Española;Tercero;1975;..
Total Nacional;Española;Cuarto y más;2024;0,03
Total Nacional;Española;Cuarto y más;2023;0,03
Total Nacional;Española;Cuarto y más;2022;0,03
Total Nacional;Española;Cuarto y más;2021;0,03
Total Nacional;Española;Cuarto y más;2020;0,03
Total Nacional;Española;Cuarto y más;2019;0,03
Total Nacional;Española;Cuarto y más;2018;0,03
Total Nacional;Española;Cuarto y más;2017;0,03
Total Nacional;Española;Cuarto y más;2016;0,02
Total Nacional;Española;Cuarto y más;2015;0,02
Total Nacional;Española;Cuarto y más;2014;0,02
Total Nacional;Española;Cuarto y más;2013;0,02
Total Nacional;Española;Cuarto y más;2012;0,02
Total Nacional;Española;Cuarto y más;2011;0,02
Total Nacional;Española;Cuarto y más;2010;0,02
Total Nacional;Española;Cuarto y más;2009;0,02
Total Nacional;Española;Cuarto y más;2008;0,02
Total Nacional;Española;Cuarto y más;2007;0,02
Total Nacional;Española;Cuarto y más;2006;0,02
Total Nacional;Española;Cuarto y más;2005;0,02
Total Nacional;Española;Cuarto y más;2004;0,02
Total Nacional;Española;Cuarto y más;2003;0,02
Total Nacional;Española;Cuarto y más;2002;0,03
